date,amount,description
20/12/2021,29.17,iKYXReIpBj salary pHDEO
24/02/2021,70.17,LleTXFSALH birthday gift DYOHE
08/04/2022,7.52,vYXRHJIisv paycheck hZxav
08/08/2021,-35.68,uceMtZhekW asda vVMoP
07/02/2021,-59.62,FHqqmwzGbD shell wtIpd
03/05/2022,9.68,ODWbSTgeHm birthday gift CdSFl
17/07/2022,-31.77,eimSrqNyig aldi KLvsF
24/02/2021,27.83,HBVScHotYo paycheck mxijl
26/08/2021,-6.48,GXCFqVrHJo npower cFXnh
22/08/2022,-59.55,rCCiybfBje tesco jnklL
21/05/2021,-17.89,yrvMpDiLCX invest Gdfyq
21/09/2021,41.32,vvlugvFEUG paycheck sBIDo
06/04/2021,8.22,UGrOgekVif paycheck jfYEC
20/06/2021,-33.61,HbppcmKQHj shell IHAEf
02/07/2021,1.51,wnndFOkGcz paycheck isTHn
05/04/2021,48.04,joGhTNsVgg birthday gift mlSlo
23/06/2022,10.45,TDAEdrCona salary mRJXo
04/07/2021,-2.13,nsVdGFyOIV eon DLbcX
06/07/2022,-41.12,PGgOyecbtW aldi XmODb
23/08/2022,-42.69,iyqmIRjTvt marks&spencer IWisw
20/03/2022,75.16,TXKfPOgeLE paycheck FLkda
10/05/2021,64.14,GoWNBaAmgB salary imxrt
14/07/2022,2.13,LJUbYPyelM salary qivTs
10/07/2021,-15.02,amreXYylRX greggs tskvR
21/12/2020,-59.81,nfMNCNCzmi amzn UdGhG
11/01/2021,-94.12,JbxcwWuOcy etoro VlJHd
19/02/2021,-10.08,ATmHLloYQL esso ehTfz
12/10/2020,19.72,SLLVhViYgE birthday gift HRNrK
02/12/2020,-51.34,hnSUwpgUOl mcdonalds GlUSr
03/09/2022,-32.33,UoLWcMsvUt greggs FpzAf
01/10/2021,-7.27,rIATCPPfvx adobe mkBVQ
26/09/2022,52.9,SrTzaKMFxN salary FNFSK
13/01/2021,-7.21,wWEBusOves greggs ttWcS
27/04/2021,44.22,QyFvhdIhSJ birthday gift mzvvw
01/05/2022,8.11,rwWBCnNHwC salary FUyKO
11/12/2021,-55.38,mAINlgugzr aldi vriHY
05/11/2020,35.01,BwlFiTFNtU salary kLRaP
18/02/2021,32.28,lhZOvwipvq birthday gift lAbgq
08/03/2021,7.47,ytjdBQRnrv paycheck WlJFJ
25/02/2021,-37.94,WJHQyVSyMw vanguard cPjHF
11/02/2022,-19.4,WCBFVxHINY apple wTRek
30/09/2021,21.86,sPHWbKIlDE birthday gift hBdbD
23/11/2020,15.95,pWYTPetTmW paycheck dGRae
13/02/2022,30.47,oROMJBOkTQ paycheck jyzRv
16/07/2022,43.88,SyqvTbHxtb salary ZIYkS
15/09/2021,73.09,zDHJGNSwEp birthday gift xWRBF
13/05/2021,36.78,HMVzLOLGMs paycheck szpOY
24/09/2022,59.7,BQEIVvHAxz birthday gift xKvXB
06/07/2022,44.66,hrAdKkYRss paycheck QJJEJ
18/07/2021,74.49,YoOTYFpwYv birthday gift XEvAP
19/09/2021,63.42,nOtJHtThtr birthday gift yglOf
25/10/2021,-6.96,KfTRValnAK fitness deLZa
15/08/2021,31.45,pcqquEeksZ paycheck ZUrNq
17/03/2021,5.84,DpehpYPPAc paycheck KotbU
25/07/2022,41.67,Czuqteoisp birthday gift cdYVF
23/04/2022,17.61,ASNUTjviHA paycheck GxNHD
30/08/2022,-15.69,vzQgxOtvBD marks&spencer PBFHd
23/04/2022,-4.66,vXNeOittrO apple fqUSe
24/06/2022,-68.96,hwtCwRLyXo amzn yqUMk
27/04/2021,-10.08,xLUCanYuXV o2 pwYUW
06/06/2021,16.42,tbXUUcKHkf birthday gift sAoFN
03/06/2022,-36.86,jTeCQXcUrT cinema hiYXM
31/05/2022,44.91,DeieZKPIil salary JkCIu
28/11/2020,-60.84,cXKTWGJaXK vodafone Nwhdg
